model,sigma,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
SVM-RBF,0.1,0.6130820399113082,0.012195121951219523,0.5867716665502443,0.013851337831948307
SVM-RBF,0.3,0.5964523281596452,0.0177383592017738,0.5643234584499234,0.01612825659257089
SVM-RBF,0.5,0.5354767184035476,0.0343680709534368,0.5109278500029384,0.0234076071326986
SVM-RBF,0.7,0.48004434589800443,0.04988913525498889,0.4719080311797049,0.029825836496935515
SVM-RBF,1.0,0.39356984478935697,0.04323725055432373,0.37403690071391804,0.031007156805065883
SVM-Linear,0.1,0.565410199556541,0.01552106430155209,0.5657015945336643,0.0197928037197323
SVM-Linear,0.3,0.5554323725055432,0.014412416851441234,0.5611142238574894,0.022279320139240832
SVM-Linear,0.5,0.5354767184035476,0.018847006651884712,0.5338141002084831,0.024682421453336045
SVM-Linear,0.7,0.516629711751663,0.017738359201773857,0.5065453542601045,0.018607279890866274
SVM-Linear,1.0,0.4745011086474501,0.01108647450110864,0.46619823975101926,0.008191554428826298
Static-MKL,0.1,0.6097560975609757,0.006651884700665189,0.5861761606138607,0.010288407248558396
Static-MKL,0.3,0.5975609756097562,0.007760532150776045,0.5731676612855078,0.00864821447980657
Static-MKL,0.5,0.5776053215077606,0.007760532150776045,0.5521364838400851,0.0023016425452206946
Static-MKL,0.7,0.5443458980044346,0.014412416851441234,0.520695015729546,0.010687877645576882
Static-MKL,1.0,0.4922394678492239,0.01108647450110864,0.4728113432532711,0.003103363548444399
